Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,Average Total,Average (Bitcoin Excluded),,,
9/29/2021,0.0065,0.0125,-0.0109,0.0017,-0.0001,0.00194,-0.0007,,,
9/28/2021,-0.0238,-0.0273,-0.0372,-0.0362,0.0108,-0.02274,-0.0216,,,
9/27/2021,-0.0105,-0.0239,-0.008,-0.0173,-0.0194,-0.01582,-0.0138,,,
9/24/2021,0.0006,-0.0457,0.0071,-0.0007,-0.0012,-0.00798,0.00145,,,
9/23/2021,0.0067,0.0303,0.0066,0.0033,0.0015,0.00968,0.004525,,,
9/22/2021,0.0169,0.0713,0.009,0.0128,0.0081,0.02362,0.0117,,,
9/21/2021,0.0034,-0.0518,0.0023,0.0017,-0.0079,-0.01046,-0.000125,,,
9/20/2021,-0.0214,-0.0925,-0.0148,-0.0186,-0.0016,-0.02978,-0.0141,,,
9/17/2021,-0.0183,-0.0097,-0.0196,-0.0175,0.005,-0.01202,-0.0126,,,
9/16/2021,-0.0016,-0.008,-0.0057,0.0013,0,-0.0028,-0.0015,,,
9/15/2021,0.0061,0.0224,0.0132,0.0168,0.0046,0.01262,0.010175,,,
9/14/2021,-0.0096,0.0473,0.0015,0.0094,-0.0013,0.00946,0,,,
9/13/2021,0.0039,-0.0242,0.0103,0.0043,-0.0029,-0.00172,0.0039,,,
9/10/2021,-0.0331,-0.0333,-0.0186,-0.0052,0.001,-0.01784,-0.013975,,,
9/9/2021,-0.0067,0.007,-0.001,-0.0099,0.0078,-0.00056,-0.00245,,,
9/8/2021,-0.0101,-0.0154,-0.0041,0.0001,-0.0062,-0.00714,-0.005075,,,
9/7/2021,0.0155,-0.1119,0.0038,-0.0032,-0.0033,-0.01982,0.0032,,,
9/1/2021,0.0045,0.0358,0.0036,-0.0002,0.0024,0.00922,0.002575,,,
8/31/2021,-0.0084,0.0029,0.0007,-0.0056,0.0025,-0.00158,-0.0027,,,
8/30/2021,0.0304,-0.0366,0.0041,0.0129,0.0114,0.00444,0.0147,,,
